,course_title,is_paid,price,num_reviews,level,subject,year,convertedtime,Bag_Of_Words,Words_Vector
0,Ultimate Investment Banking Course,1.0,200,23,0,Business Finance,2017,90.0,ultimate investment banking course business finance,1.0000000000000002
1,Complete GST Course & Certification - Grow Your CA Practice,1.0,75,923,0,Business Finance,2017,2340.0,complete gst course certification grow ca practice business finance,0.408248290463863
2,Financial Modeling for Business Analysts and Consultants,1.0,45,74,2,Business Finance,2016,150.0,financial modeling business analysts consultants business finance,0.408248290463863
3,Beginner to Pro - Financial Analysis in Excel 2017,1.0,95,11,0,Business Finance,2017,180.0,beginner pro financial analysis excel 2017 business finance,0.2886751345948129
4,How To Maximize Your Profits Trading Options,1.0,200,45,2,Business Finance,2016,120.0,maximize profits trading options business finance,0.3333333333333334
5,Trading Penny Stocks: A Guide for All Levels In 2017,1.0,150,138,0,Business Finance,2014,180.0,trading penny stocks guide levels 2017 business finance,0.2886751345948129
6,Investing And Trading For Beginners: Mastering Price Charts,1.0,65,178,1,Business Finance,2016,1.0,investing trading beginners mastering price charts business finance,0.2886751345948129
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",1.0,95,148,0,Business Finance,2015,150.0,trading stock chart patterns immediate explosive gains business finance,0.2721655269759087
8,Options Trading 3 : Advanced Stock Profit and Success Method,1.0,195,34,3,Business Finance,2015,150.0,options trading 3 advanced stock profit success method business finance,0.2721655269759087
9,The Only Investment Strategy You Need For Your Retirement,1.0,200,14,0,Business Finance,2017,1.0,investment strategy need retirement business finance,0.5000000000000001
10,Forex Trading Secrets of the Pros With Amazon's AWS,1.0,200,93,0,Business Finance,2015,300.0,forex trading secrets pros amazon aws business finance,0.2886751345948129
11,Trading Options With Money Flow,1.0,200,42,0,Business Finance,2016,1.0,trading options money flow business finance,0.3333333333333334
12,Financial Management Risk and Return For Securities,1.0,30,21,0,Business Finance,2016,90.0,financial management risk return securities business finance,0.3086066999241838
13,Forex Trading Course: Work Smarter Not Harder Proven Results,1.0,195,52,0,Business Finance,2016,120.0,forex trading course work smarter harder proven results business finance,0.3872983346207417
14,Python Algo Trading: Sentiment Trading with News,1.0,200,19,0,Business Finance,2017,420.0,python algo trading sentiment news business finance,0.3086066999241838
15,Short Selling: Learn To Sell Stocks Before The Fall,1.0,75,106,2,Business Finance,2015,90.0,short selling learn sell stocks fall business finance,0.2886751345948129
16,Basic Technical Analysis: Learn the structure of the market,1.0,20,79,1,Business Finance,2016,90.0,basic technical analysis learn structure market business finance,0.2886751345948129
17,The Complete Chart Pattern Trading Course: A Proven Approach,1.0,200,115,0,Business Finance,2015,240.0,complete chart pattern trading course proven approach business finance,0.408248290463863
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,1.0,50,24,0,Business Finance,2015,90.0,7 deadly mistakes investing slash profits business finance,0.3086066999241838
19,Financial Statements Made Easy,1.0,95,249,1,Business Finance,2013,35.0,financial statements made easy business finance,0.3333333333333334
20,Winning Forex Trading with Live Forex Trading Examples,1.0,200,3,0,Business Finance,2017,120.0,winning forex trading live examples business finance,0.3086066999241838
21,Forex Traders - Create Your First Trading Robot. No Coding!,1.0,200,84,0,Business Finance,2016,240.0,forex traders create first trading robot coding business finance,0.2721655269759087
22,Create A Business From Home Trading Stocks Today In 2017,1.0,75,83,0,Business Finance,2015,120.0,create business home trading stocks today 2017 business finance,0.36927447293799825
23,Introduction to Accounting : Mastering Financial Statements,1.0,50,38,1,Business Finance,2016,1.0,introduction accounting mastering financial statements business finance,0.3086066999241838
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,1.0,45,333,0,Business Finance,2016,120.0,complete ethereum course get 01 ether wallet business finance,0.408248290463863
